Gene_ID,Sample_con-1,Sample_con-2,Sample_con-3,Sample_trt-1,Sample_trt-2,Sample_trt-3
pg_10000843,5,7,13,6,20,13
pg_10000844,1,1,2,4,1,2
pg_10000845,0,0,0,0,0,0
pg_10000848,609,612,611,1103,1127,1566
pg_10000849,37,21,26,12,6,22
pg_1000085,267,246,222,324,337,385
pg_10000850,1470,1474,1529,2104,2531,1928
pg_10000852,434,420,462,404,366,501
pg_10000853,8,18,14,8,3,20
pg_10000855,0,0,0,0,0,0
pg_10000856,0,0,0,2,0,0
pg_10000857,0,0,0,0,0,0
pg_10000863,0,2,0,3,0,0
pg_10000864,0,0,0,0,0,0
pg_10000868,0,0,0,0,0,0
pg_10000869,0,0,0,0,0,0
pg_1000087,106,96,94,127,114,168
